desc,Price,Currency,Category,Address,Bed_Rooms,Washroom,SKU,Image,Product_url
"L'intérieur et l'extérieur sont rénovés, 2 chambres à coucher, libre demain.",94900,CAD,Maison mobile à vendre,"1207, 12e Rue,Chibougamau",2,1,21736113,https://mspublic.centris.ca/media.ashx?id=ADDD250D253C4AAD1C98891D14&t=pi&w=320&h=240&sm=c,https://www.centris.ca/fr/maison-mobile~a-vendre~chibougamau/21736113?view=Summary
"Jolie maison mobile de 3 chambres à coucher et possibilité d'une 4e, aucun voisin à l'arrière, elle saura vous plaire.",139900,CAD,Maison mobile à vendre,"1741, Rue  Saint-Luc,Chibougamau",3,1,21049716,https://mspublic.centris.ca/media.ashx?id=ADDD250D23BDBF1D1C1210CD1C&t=pi&w=320&h=240&sm=c,https://www.centris.ca/fr/maison-mobile~a-vendre~chibougamau/21049716?view=Summary
Vous avez ici une belle maison familiale construite sur un grand terrain aménagé d'un grand stationnement double largeur. Deux chambres (possibilité de 3) au RDC et deux autres au sous-sol ainsi que deux salles de bains complète. Parfait pour votre famille!!,110000,CAD,Maison à vendre,"102, Rue des Ormes,Lebel-sur-Quévillon",4,2,11096216,https://mspublic.centris.ca/media.ashx?id=ADDD250D26F456FDD8FEDFBD1D&t=pi&w=320&h=240&sm=c,https://www.centris.ca/fr/maison~a-vendre~lebel-sur-quevillon/11096216?view=Summary
"INVESTISSEUR vous avez ici un bon produit. Loué à des entreprises ce duplex est aussi disponible pour un propriétaire occupant désireux de louer des chambres. Le logement principal offre 3 chambres, une salle de bains complète, une salle d'eau et une salle de lavage indépendante au rez-de-chaussée et 3 chambres plus une salle de bains au sous-sol. Le vendeur laisse sur place tout les meubles et l'équipement.",150000,CAD,Duplex à vendre,"49A - 49B, Rue des Cyprès,Lebel-sur-Quévillon",3,2,17054953,https://mspublic.centris.ca/media.ashx?id=ADDD250D2655EC9D1DC275FD1E&t=pi&w=320&h=240&sm=c,https://www.centris.ca/fr/duplex~a-vendre~lebel-sur-quevillon/17054953?view=Summary
"Propriété ayant beaucoup de potentiel avec son grand terrain. située tout près des écoles et d'un parc, cette maison vous surprendra avec ses 4 chambres à coucher et ses 2 salles de bain. Faites vite!",104500,CAD,Maison à vendre,"115, Rue des Épinettes,Lebel-sur-Quévillon",4,2,16599908,https://mspublic.centris.ca/media.ashx?id=ADDD250D26B26D8DD63C9ACD12&t=pi&w=320&h=240&sm=c,https://www.centris.ca/fr/maison~a-vendre~lebel-sur-quevillon/16599908?view=Summary
"Beau jumelé situé dans un quartier tranquille, bon voisinage et une grande cour arrière pour vos activités en famille ou entre amis.De belles améliorations y ont été apportées au cours des dernières années.Ce jumelé vous offre 3 ch. à c.,une salle familiale ainsi qu'une salle de bain et une salle d'eau.Soyez les premiers à visiter cette propriété !",100000,CAD,Maison à vendre,"66, Rue des Ormes,Lebel-sur-Quévillon",3,2,14407362,https://mspublic.centris.ca/media.ashx?id=ADDD250D26B6640DD393A74D1E&t=pi&w=320&h=240&sm=c,https://www.centris.ca/fr/maison~a-vendre~lebel-sur-quevillon/14407362?view=Summary
"Idéal pour propriétaire occupant, le loyer du 766 entièrement rénové, grand terrain sur coin de rue. Près du centre-ville. Une visite vous convaincra. Jean-François 418-770-5211 Sylvie 418-770-1329",174500,CAD,Maison à vendre,"764 - 766, 5e Rue,Chibougamau",2,1,14304861,https://mspublic.centris.ca/media.ashx?id=ADDD250D29B552ADD38CAE3D1A&t=pi&w=320&h=240&sm=c,https://www.centris.ca/fr/maison~a-vendre~chibougamau/14304861?view=Summary
"Propriété de choix à une quinzaine de minutes du centre-ville, navigable, paisible, paysager. Verrière et foyer au bois pour une ambiance du tonnerre. Grand terrain clôturé avec quai et lac navigable en toile de fond. Plusieurs pièces spacieuses sont au sous-sol avec sortie extérieure à la hauteur du terrain. Vivre les vacances à l'année!!",319999,CAD,Maison à vendre,"4, Chemin de la Baie-Queylus,Chibougamau",3,3,20549041,https://mspublic.centris.ca/media.ashx?id=ADDD250D2ED4A6CD12FB391D1A&t=pi&w=320&h=240&sm=c,https://www.centris.ca/fr/maison~a-vendre~chibougamau/20549041?view=Summary
"Grande maison avec un super potentiel. Idéal pour petit budget. Beaucoup de rangement à la cuisine et les chambres à coucher sont isolés des bruits de la maison par une porte en guise de séparation. Près des écoles et du parc, idéale pour votre famille. POSSIBILITÉ DE REVENU - LOCATION DU SOUS-SOL AVEC ENTRÉE INDÉPENDANTE",95000,CAD,Maison à vendre,"60, Rue des Sapins,Lebel-sur-Quévillon",5,3,28668535,https://mspublic.centris.ca/media.ashx?id=ADDD250D27D5F06D19E0400D14&t=pi&w=320&h=240&sm=c,https://www.centris.ca/fr/maison~a-vendre~lebel-sur-quevillon/28668535?view=Summary
"Belle propriété avec grand terrain clôturé et entrée asphaltée! Quelques rénovations faites au fil des ans. Possibilité de faire un grand logement au sous-sol, avec entrée indépendante. Venez visiter, vous serez charmés!",120000,CAD,Maison à vendre,"73, Rue des Cèdres,Lebel-sur-Quévillon",6,2,22848037,https://mspublic.centris.ca/media.ashx?id=ADDD250D2311468D1E7844ED11&t=pi&w=320&h=240&sm=c,https://www.centris.ca/fr/maison~a-vendre~lebel-sur-quevillon/22848037?view=Summary
"Belle maison entièrement rénovée au goût du jour. Chambre des maîtres au rez-de-chaussée, deux à l'étage et une au sous-sol. Deux salles de bains complètes avec douche vitrées. Salle de lavage et salle familiale au sous-sol.",185000,CAD,Maison à vendre,"95, Rue des Peupliers,Lebel-sur-Quévillon",4,2,12928428,https://mspublic.centris.ca/media.ashx?id=ADDD250D26DDBA9DD7ECE87D1D&t=pi&w=320&h=240&sm=c,https://www.centris.ca/fr/maison~a-vendre~lebel-sur-quevillon/12928428?view=Summary
"CLÉ EN MAINS - Maison mobile bien entretenue avec annexe (8 x 42). Grand hall d'entrée et pièces communes à aires ouvertes. 3 chambres de bonnes dimensions et salle de lavage indépendante. Cuisine et salle de bains, entièrement refaits au goût du jour.",101500,CAD,Maison mobile à vendre,"67, Place  J.-E.-Rivest,Lebel-sur-Quévillon",3,1,23397722,https://mspublic.centris.ca/media.ashx?id=ADDD250D2593EABD1AEDEE8D1C&t=pi&w=320&h=240&sm=c,https://www.centris.ca/fr/maison-mobile~a-vendre~lebel-sur-quevillon/23397722?view=Summary
"À qui la chance? Maison spacieuse située sur un beau terrain.Au rdc, vous y trouverez de bels espaces de vie dont salon,cuisine et 3 chambres à coucher avec des planchers de bois et de céramique.Au sous-sol, il y a beaucoup d'espace de rangement.Grande cour clôturée pouvant être aménagée à votre goût.N'attendez plus, contactez-moi pour une visite !",125000,CAD,Maison à vendre,"73, Rue des Peupliers,Lebel-sur-Quévillon",5,2,26271696,https://mspublic.centris.ca/media.ashx?id=ADDD250D26FD423D1FD363DD1E&t=pi&w=320&h=240&sm=c,https://www.centris.ca/fr/maison~a-vendre~lebel-sur-quevillon/26271696?view=Summary
"Maison de style unique avec ces 9 chambres à coucher et plus, elle saura vous plaire avec son terrain boisé comme villégiature. Les taxes municipales seront réduites sous peut pour devenir une taxe résidentiel.",450000,CAD,Maison à vendre,"878, 6e Rue Ouest,Chibougamau",9,3,15473248,https://mspublic.centris.ca/media.ashx?id=ADDD250D2760D23DD5718ADD14&t=pi&w=320&h=240&sm=c,https://www.centris.ca/fr/maison~a-vendre~chibougamau/15473248?view=Summary
"Maison en villégiature, beaucoup d'espace, grand terrain sur le bord du lac Doré. Tranquillité assurée! 3 chambres, possibilité d'en ajouter au sous-sol. Une visite vous enchantera! Lynda Desgagné 418-770-9038",318500,CAD,Chalet à vendre,"244, Chemin du Lac-aux-Dorés,Chibougamau",3,2,23968696,https://mspublic.centris.ca/media.ashx?id=ADDD250D2690781D1A3999BD1D&t=pi&w=320&h=240&sm=c,https://www.centris.ca/fr/chalet~a-vendre~chibougamau/23968696?view=Summary
"Magnifique maison située près d'une rivière, avec vue sur l'eau et près de tous les services. Avec 4 chambres, piscine, spa, grande cour arrière clôturée. Parfait pour une famille. Pour plus d'infos, contactez Lynda Gauthier au 418-770-9038.",279500,CAD,Maison à vendre,"196, 2e Avenue,Chibougamau",4,2,21497464,https://mspublic.centris.ca/media.ashx?id=ADDD250D239E5BAD1CBDA0BD1F&t=pi&w=320&h=240&sm=c,https://www.centris.ca/fr/maison~a-vendre~chibougamau/21497464?view=Summary
